title,company,location,posted_date,url,page,scraped_at,processed_at
,£51.77,In stock,,catalogue/a-light-in-the-attic_1000/index.html,1,2026-05-28T20:15:54.630049,2026-05-28T20:16:06.402711
,£53.74,In stock,,catalogue/tipping-the-velvet_999/index.html,1,2026-05-28T20:15:54.685043,2026-05-28T20:16:06.402711
,£50.10,In stock,,catalogue/soumission_998/index.html,1,2026-05-28T20:15:54.733043,2026-05-28T20:16:06.402711
,£47.82,In stock,,catalogue/sharp-objects_997/index.html,1,2026-05-28T20:15:54.779043,2026-05-28T20:16:06.402711
,£54.23,In stock,,catalogue/sapiens-a-brief-history-of-humankind_996/index.html,1,2026-05-28T20:15:54.827043,2026-05-28T20:16:06.402711
,£22.65,In stock,,catalogue/the-requiem-red_995/index.html,1,2026-05-28T20:15:54.875043,2026-05-28T20:16:06.402711
,£33.34,In stock,,catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,1,2026-05-28T20:15:54.923136,2026-05-28T20:16:06.402711
,£17.93,In stock,,catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,1,2026-05-28T20:15:54.970178,2026-05-28T20:16:06.402711
,£22.60,In stock,,catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,1,2026-05-28T20:15:55.015543,2026-05-28T20:16:06.402711
,£52.15,In stock,,catalogue/the-black-maria_991/index.html,1,2026-05-28T20:15:55.059545,2026-05-28T20:16:06.402711
,£13.99,In stock,,catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,1,2026-05-28T20:15:55.110544,2026-05-28T20:16:06.403708
,£20.66,In stock,,catalogue/shakespeares-sonnets_989/index.html,1,2026-05-28T20:15:55.156545,2026-05-28T20:16:06.403708
,£17.46,In stock,,catalogue/set-me-free_988/index.html,1,2026-05-28T20:15:55.198965,2026-05-28T20:16:06.403708
,£52.29,In stock,,catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,1,2026-05-28T20:15:55.241966,2026-05-28T20:16:06.403708
,£35.02,In stock,,catalogue/rip-it-up-and-start-again_986/index.html,1,2026-05-28T20:15:55.284965,2026-05-28T20:16:06.403708
,£57.25,In stock,,catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,1,2026-05-28T20:15:55.330969,2026-05-28T20:16:06.403708
,£23.88,In stock,,catalogue/olio_984/index.html,1,2026-05-28T20:15:55.377967,2026-05-28T20:16:06.403708
,£37.59,In stock,,catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1,2026-05-28T20:15:55.423965,2026-05-28T20:16:06.403708
,£51.33,In stock,,catalogue/libertarianism-for-beginners_982/index.html,1,2026-05-28T20:15:55.476964,2026-05-28T20:16:06.403708
,£45.17,In stock,,catalogue/its-only-the-himalayas_981/index.html,1,2026-05-28T20:15:55.519675,2026-05-28T20:16:06.403708
,£51.77,In stock,,catalogue/a-light-in-the-attic_1000/index.html,1,2026-05-28T20:15:54.630049,2026-05-28T20:16:06.402711
,£53.74,In stock,,catalogue/tipping-the-velvet_999/index.html,1,2026-05-28T20:15:54.685043,2026-05-28T20:16:06.402711
,£50.10,In stock,,catalogue/soumission_998/index.html,1,2026-05-28T20:15:54.733043,2026-05-28T20:16:06.402711
,£47.82,In stock,,catalogue/sharp-objects_997/index.html,1,2026-05-28T20:15:54.779043,2026-05-28T20:16:06.402711
,£54.23,In stock,,catalogue/sapiens-a-brief-history-of-humankind_996/index.html,1,2026-05-28T20:15:54.827043,2026-05-28T20:16:06.402711
,£22.65,In stock,,catalogue/the-requiem-red_995/index.html,1,2026-05-28T20:15:54.875043,2026-05-28T20:16:06.402711
,£33.34,In stock,,catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,1,2026-05-28T20:15:54.923136,2026-05-28T20:16:06.402711
,£17.93,In stock,,catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,1,2026-05-28T20:15:54.970178,2026-05-28T20:16:06.402711
,£22.60,In stock,,catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,1,2026-05-28T20:15:55.015543,2026-05-28T20:16:06.402711
,£52.15,In stock,,catalogue/the-black-maria_991/index.html,1,2026-05-28T20:15:55.059545,2026-05-28T20:16:06.402711
,£13.99,In stock,,catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,1,2026-05-28T20:15:55.110544,2026-05-28T20:16:06.403708
,£20.66,In stock,,catalogue/shakespeares-sonnets_989/index.html,1,2026-05-28T20:15:55.156545,2026-05-28T20:16:06.403708
,£17.46,In stock,,catalogue/set-me-free_988/index.html,1,2026-05-28T20:15:55.198965,2026-05-28T20:16:06.403708
,£52.29,In stock,,catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,1,2026-05-28T20:15:55.241966,2026-05-28T20:16:06.403708
,£35.02,In stock,,catalogue/rip-it-up-and-start-again_986/index.html,1,2026-05-28T20:15:55.284965,2026-05-28T20:16:06.403708
,£57.25,In stock,,catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,1,2026-05-28T20:15:55.330969,2026-05-28T20:16:06.403708
,£23.88,In stock,,catalogue/olio_984/index.html,1,2026-05-28T20:15:55.377967,2026-05-28T20:16:06.403708
,£37.59,In stock,,catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1,2026-05-28T20:15:55.423965,2026-05-28T20:16:06.403708
,£51.33,In stock,,catalogue/libertarianism-for-beginners_982/index.html,1,2026-05-28T20:15:55.476964,2026-05-28T20:16:06.403708
,£45.17,In stock,,catalogue/its-only-the-himalayas_981/index.html,1,2026-05-28T20:15:55.519675,2026-05-28T20:16:06.403708
,£12.84,In stock,,in-her-wake_980/index.html,2,2026-05-28T20:16:05.094750,2026-05-28T20:16:06.403708
,£37.32,In stock,,how-music-works_979/index.html,2,2026-05-28T20:16:05.142670,2026-05-28T20:16:06.403708
,£30.52,In stock,,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2,2026-05-28T20:16:05.187692,2026-05-28T20:16:06.403708
,£25.27,In stock,,chase-me-paris-nights-2_977/index.html,2,2026-05-28T20:16:05.231673,2026-05-28T20:16:06.403708
,£34.53,In stock,,black-dust_976/index.html,2,2026-05-28T20:16:05.276672,2026-05-28T20:16:06.403708
,£54.64,In stock,,birdsong-a-story-in-pictures_975/index.html,2,2026-05-28T20:16:05.320674,2026-05-28T20:16:06.403708
,£22.50,In stock,,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2,2026-05-28T20:16:05.366673,2026-05-28T20:16:06.403708
,£53.13,In stock,,aladdin-and-his-wonderful-lamp_973/index.html,2,2026-05-28T20:16:05.410672,2026-05-28T20:16:06.403708
,£40.30,In stock,,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2,2026-05-28T20:16:05.453672,2026-05-28T20:16:06.403708
,£44.18,In stock,,wall-and-piece_971/index.html,2,2026-05-28T20:16:05.497672,2026-05-28T20:16:06.403708
,£17.66,In stock,,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,2,2026-05-28T20:16:05.544672,2026-05-28T20:16:06.403708
,£31.05,In stock,,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,2,2026-05-28T20:16:05.594671,2026-05-28T20:16:06.403708
,£23.82,In stock,,the-elephant-tree_968/index.html,2,2026-05-28T20:16:05.643671,2026-05-28T20:16:06.403708
,£36.89,In stock,,the-bear-and-the-piano_967/index.html,2,2026-05-28T20:16:05.685673,2026-05-28T20:16:06.403708
